Enterococcus wangshanyuanii	2005703	PRJNA388020	388020	Terrabacteria group	Bacillota	4.15595	37.2798	chromosome:NZ_CP021874.1/CP021874.1; plasmid unnamed2:NZ_CP021875.1/CP021875.1; plasmid unnamed3:NZ_CP021876.1/CP021876.1; plasmid unnamed4:NZ_CP021877.1/CP021877.1; plasmid unnamed5:NZ_CP021878.1/CP021878.1	-	5	4214	4104	2017/06/19	2022/10/10	Complete Genome	Chinese Center for Disease Control and Prevention	SAMN07171652	GCA_002197645.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/197/645/GCF_002197645.1_ASM219764v1	29072561	MN05
Enterococcus lactis	357441	PRJNA741717	741717	Terrabacteria group	Bacillota	2.72807	38.3957	chromosome:NZ_CP079880.1/CP079880.1; plasmid pXC:NZ_CP079881.1/CP079881.1	-	2	2663	2484	2021/07/26	2022/04/14	Complete Genome	Jiangxi Agricultural University	SAMN19908122	GCA_019343125.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/343/125/GCA_019343125.1_ASM1934312v1	-	CX 2-6_2
Enterococcus saigonensis	1805431	PRJDB9118	596691	Terrabacteria group	Bacillota	2.84499	36.255	chromosome:NZ_AP022822.1/AP022822.1; plasmid pVE80-1:NZ_AP022823.1/AP022823.1; plasmid pVE80-2:NZ_AP022824.1/AP022824.1; plasmid pVE80-3:NZ_AP022825.1/AP022825.1	-	4	2764	2637	2020/02/26	2021/12/16	Complete Genome	Osaka Institute of Public Health	SAMD00198474	GCA_011397115.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/397/115/GCA_011397115.1_ASM1139711v1	-	VE80
Enterococcus innesii	2839759	PRJDB12955	802388	Terrabacteria group	Bacillota	3.5985	42.4851	chromosome:NZ_AP025635.1/AP025635.1; plasmid pEIDB1:NZ_AP025636.1/AP025636.1	-	2	3371	3280	2022/03/11	2022/04/11	Complete Genome	Medical Affairs, Glaxosmithkline	SAMD00442138	GCA_022846515.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/846/515/GCA_022846515.1_ASM2284651v1	-	DB-1
Enterococcus montenegrensis	3031993	PRJNA940651	940651	Terrabacteria group	Bacillota	2.82943	37.4	chromosome:NZ_CP120467.1/CP120467.1	-	1	2706	2581	2023/05/11	2023/05/14	Complete Genome	AGES	SAMN33576457	GCA_029983095.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/983/095/GCF_029983095.1_ASM2998309v1	-	CoE-012-22
Enterococcus lactis	357441	PRJNA672223	672223	Terrabacteria group	Bacillota	2.76535	38.4	chromosome:NZ_CP063766.1/CP063766.1	-	1	2678	2533	2022/05/31	2022/06/02	Complete Genome	Ildong Pharmaceutical	SAMN16561002	GCA_023612275.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/612/275/GCA_023612275.1_ASM2361227v1	-	IDCC 2105
Enterococcus sp. FZMF	3050383	PRJNA974915	974915	Terrabacteria group	Bacillota	3.39763	42.6	chromosome:CP127160.1	-	1	3316	3185	2023/06/13	2023/06/13	Complete Genome	Fujian Agriculture And Forestry University	SAMN35301448	GCA_030263915.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/263/915/GCF_030263915.1_ASM3026391v1	-	FZMF
Enterococcus raffinosus	71452	PRJNA880513	880513	Terrabacteria group	Bacillota	4.29629	39.3189	chromosome:NZ_CP104762.1/CP104762.1; plasmid p1_ATCC49464:NZ_CP104763.1/CP104763.1	-	2	4275	4110	2022/09/26	2022/09/28	Complete Genome	University of Texas at Dallas	SAMN30844988	GCA_025402855.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/402/855/GCF_025402855.1_ASM2540285v1	-	ATCC 49464
Enterococcus avium	33945	PRJNA506876	506876	Terrabacteria group	Bacillota	4.8821	38.9371	chromosome:NZ_CP034169.1/CP034169.1; plasmid unnamed:NZ_CP034168.1/CP034168.1	-	2	4863	4702	2019/05/14	2022/04/13	Complete Genome	shandong University	SAMN10475309	GCA_005347505.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/347/505/GCF_005347505.1_ASM534750v1	31049078	352
Enterococcus cecorum	44008	PRJEB50514	922819	Terrabacteria group	Bacillota	2.79989	36.2	chromosome 1:OX346405.1	-	1	2855	2766	2023/01/11	2023/01/12	Complete Genome	INRAE	SAMEA12751082	GCA_947055185.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/947/055/185/GCF_947055185.1_CIRMBP-1228_assembly	-	CIRMBP-1228
Enterococcus dispar	44009	PRJNA783265	783265	Terrabacteria group	Bacillota	2.81209	37.1372	chromosome:NZ_CP116583.1/CP116583.1; plasmid pK205-4b-A:NZ_CP116584.1/CP116584.1; plasmid pK205-4b-B:NZ_CP116585.1/CP116585.1; plasmid pK205-4b-C:NZ_CP116586.1/CP116586.1	-	4	2702	2587	2023/01/31	2023/02/02	Complete Genome	University of Zurich	SAMN23424507	GCA_028335365.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/335/365/GCF_028335365.1_ASM2833536v1	-	K205-4b
Enterococcus mundtii	53346	PRJDB8488	642032	Terrabacteria group	Bacillota	3.29577	38.3179	chromosome:NZ_AP019810.1/AP019810.1; plasmid pEM15-1A-1:NZ_AP019811.1/AP019811.1; plasmid pEM15-1A-2:NZ_AP019812.1/AP019812.1; plasmid pEM15-1A-3:NZ_AP019813.1/AP019813.1	-	4	3142	2990	2020/06/24	2021/12/17	Complete Genome	Hiroshima University	SAMD00177104	GCA_013394305.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/394/305/GCA_013394305.1_ASM1339430v1	-	15-1A
Enterococcus durans	53345	PRJNA231221	231221	Terrabacteria group	Bacillota	3.09571	37.9165	chromosome:NZ_CP077320.1/CP077320.1; plasmid unnamed1:NZ_CP077321.1/CP077321.1; plasmid unnamed2:NZ_CP077322.1/CP077322.1; plasmid unnamed3:NZ_CP077323.1/CP077323.1; plasmid unnamed4:NZ_CP077324.1/CP077324.1	-	5	2952	2730	2021/06/28	2021/06/29	Complete Genome	US Food and Drug Administration 	SAMN16357579	GCA_019048325.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/048/325/GCA_019048325.1_ASM1904832v1	-	FDAARGOS 1437
Enterococcus hirae	1354	PRJNA953844	953844	Terrabacteria group	Bacillota	2.94399	-	chromosome:NZ_CP122304.1/CP122304.1; plasmid p1ZJ02:NZ_CP122305.1/CP122305.1; plasmid p2ZJ02:NZ_CP122306.1/CP122306.1; plasmid p3ZJ02:NZ_CP122307.1/CP122307.1; plasmid p4ZJ02:NZ_CP122308.1/CP122308.1; plasmid p5ZJ02:NZ_CP122309.1/CP122309.1	-	6	2832	2651	2023/04/18	2023/04/19	Complete Genome	Nanjing Agricultural University	SAMN34126596	GCA_029814255.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/814/255/GCF_029814255.1_ASM2981425v1	-	DSM 20160
Enterococcus casseliflavus	37734	PRJNA231221	231221	Terrabacteria group	Bacillota	3.58083	42.4505	chromosome:NZ_CP066024.1/CP066024.1; plasmid unnamed:NZ_CP066025.1/CP066025.1	-	2	3522	3373	2020/12/20	2021/12/22	Complete Genome	US Food and Drug Administration 	SAMN16357167	GCA_016127635.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/127/635/GCA_016127635.1_ASM1612763v1	-	FDAARGOS_998
Enterococcus gallinarum	1353	PRJNA613541	613541	Terrabacteria group	Bacillota	3.7926	39.8853	chromosome:NZ_CP050485.1/CP050485.1; plasmid pEGM181-1:NZ_CP050484.1/CP050484.1; plasmid pEGM181-2:NZ_CP050486.1/CP050486.1	-	3	3708	3581	2020/10/05	2021/10/07	Complete Genome	United States Department of Agriculture, Agricultural Research Service	SAMN14408940	GCA_014844195.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/844/195/GCA_014844195.1_ASM1484419v1	-	EGM181
Enterococcus faecalis	1351	PRJNA605254	605254	Terrabacteria group	Bacillota	2.86695	37.6	chromosome:NZ_CP064374.1/CP064374.1	-	1	2820	2679	2022/04/11	2022/04/14	Complete Genome	National Institute of Advanced Industrial Science and Technology, Biomedical Research Institute	SAMN14078803	GCA_022869705.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/869/705/GCA_022869705.1_ASM2286970v1	-	PartL-Efaecalis-RM8376
Enterococcus faecium	1352	PRJNA292786	292786	Terrabacteria group	Bacillota	3.25929	37.6727	chromosome:NZ_CP012430.1/CP012430.1; plasmid ISMMS_VRE_p1:NZ_CP012432.1/CP012432.1; plasmid ISMMS_VRE_p2:NZ_CP012431.1/CP012431.1; plasmid ISMMS_VRE_p3:NZ_CP012435.1/CP012435.1; plasmid ISMMS_VRE_p4:NZ_CP012434.1/CP012434.1; plasmid ISMMS_VRE_p5:NZ_CP012433.1/CP012433.1	-	6	3244	2991	2016/09/07	2021/10/26	Complete Genome	Mount Sinai School of Medicine	SAMN03988632	GCA_001720945.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/720/945/GCF_001720945.1_ASM172094v1	28301471	ISMMS_VRE_1
Enterococcus gallinarum	1353	PRJNA743649	743649	Terrabacteria group	Bacillota	3.681	40.1479	chromosome:NZ_CP078505.1/CP078505.1; plasmid pEG001:NZ_CP078506.1/CP078506.1; plasmid pEG002:NZ_CP078507.1/CP078507.1	-	3	3473	3351	2022/09/19	2022/09/21	Complete Genome	Yale University School of Medicine	SAMN20063978	GCA_025263125.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/263/125/GCF_025263125.1_ASM2526312v1	-	fecal_iso1
Enterococcus casseliflavus	37734	PRJNA231221	231221	Terrabacteria group	Bacillota	3.5485	42.3397	chromosome:NZ_CP068132.1/CP068132.1; plasmid unnamed1:NZ_CP068131.1/CP068131.1; plasmid unnamed2:NZ_CP068133.1/CP068133.1	-	3	3424	3295	2021/01/20	2022/01/28	Complete Genome	US Food and Drug Administration 	SAMN16357289	GCA_016727345.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/727/345/GCA_016727345.1_ASM1672734v1	-	FDAARGOS_1120
Enterococcus hirae ATCC 9790	768486	PRJNA49385	49385	Terrabacteria group	Bacillota	2.85644	36.8638	chromosome:NC_018081.1/CP003504.1; plasmid pTG9790:NC_015845.1/HQ724512.1	-	2	2743	2517	2012/06/20	2022/04/05	Complete Genome	University of Bern	SAMN02604142	GCA_000271405.2	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/271/405/GCA_000271405.2_ASM27140v2	22933757	ATCC 9790
Enterococcus durans	53345	PRJNA783265	783265	Terrabacteria group	Bacillota	3.04588	37.8704	chromosome:NZ_CP116581.1/CP116581.1; plasmid pR59-1-A:NZ_CP116582.1/CP116582.1	-	2	2827	2704	2023/01/31	2023/02/02	Complete Genome	University of Zurich	SAMN23424508	GCA_028335325.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/335/325/GCF_028335325.1_ASM2833532v1	-	R59-1
Enterococcus mundtii	53346	PRJEB51090	875774	Terrabacteria group	Bacillota	3.10661	38.6	chromosome contig00001:NZ_OV996158.1/OV996158.1	-	1	2844	2699	2022/08/31	2022/09/20	Complete Genome	IHU - Mediterranee Infection	SAMEA13094920	GCA_931972305.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/931/972/305/GCA_931972305.1_P2005	-	P2005
Enterococcus cecorum	44008	PRJEB50514	922819	Terrabacteria group	Bacillota	2.62013	36.3	chromosome 1:OX346402.1	-	1	2611	2521	2023/01/11	2023/01/12	Complete Genome	INRAE	SAMEA12751115	GCA_947055055.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/947/055/055/GCF_947055055.1_CIRMBP-1261_assembly	-	CIRMBP-1261
Enterococcus avium	33945	PRJNA231221	231221	Terrabacteria group	Bacillota	3.72338	38.5	chromosome:NZ_CP024590.1/CP024590.1	-	1	3709	3512	2018/11/05	2021/10/10	Complete Genome	US Food and Drug Administration 	SAMN04327392	GCA_003711125.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/711/125/GCF_003711125.1_ASM371112v1	-	FDAARGOS_184
Enterococcus raffinosus	71452	PRJNA879928	879928	Terrabacteria group	Bacillota	4.36663	39.2536	chromosome:NZ_CP104392.1/CP104392.1; plasmid pHG51:NZ_CP104393.1/CP104393.1; plasmid pHG52:NZ_CP104394.1/CP104394.1	-	3	4354	4186	2022/09/20	2022/09/21	Complete Genome	Chung-Ang University	SAMN30818519	GCA_025309655.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/309/655/GCF_025309655.1_ASM2530965v1	-	HG-5
Enterococcus sp. FDAARGOS_375	2060307	PRJNA231221	231221	Terrabacteria group	Bacillota	3.54929	42.238	chromosome:NZ_CP023515.1/CP023515.1; plasmid unnamed1:NZ_CP023514.1/CP023514.1; plasmid unnamed2:NZ_CP023513.1/CP023513.1	-	3	3414	3275	2017/09/28	2021/10/25	Complete Genome	US Food and Drug Administration 	SAMN07312419	GCA_002393265.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/393/265/GCF_002393265.1_ASM239326v1	-	FDAARGOS_375
Enterococcus lactis	357441	PRJNA953762	953762	Terrabacteria group	Bacillota	2.80464	38.4072	chromosome:CP123611.1; plasmid unnamed3:CP123610.1	-	2	2714	2581	2023/11/27	2023/11/27	Complete Genome	Nanjing Institute for Food and Drug Control	SAMN34123082	GCA_033954895.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/033/954/895/GCA_033954895.1_ASM3395489v1	-	J-3-A
Enterococcus lactis	357441	PRJNA953762	953762	Terrabacteria group	Bacillota	2.80331	38.4072	chromosome:CP123613.1; plasmid unnamed4:CP123612.1	-	2	2713	2580	2023/11/27	2023/11/27	Complete Genome	Nanjing Institute for Food and Drug Control	SAMN34123083	GCA_033954915.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/033/954/915/GCA_033954915.1_ASM3395491v1	-	J-4-A
Enterococcus sp. M190262	2582830	PRJNA543310	543310	Terrabacteria group	Bacillota	3.55029	40.2254	chromosome:NZ_CP040461.1/CP040461.1; plasmid pM190262:NZ_CP040462.1/CP040462.1	-	2	3354	3244	2019/05/26	2022/07/17	Complete Genome	New York Medical College	SAMN11660479	GCA_005843965.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/843/965/GCF_005843965.1_ASM584396v1	-	M190262
Enterococcus raffinosus	71452	PRJNA880513	880513	Terrabacteria group	Bacillota	4.34524	39.4107	chromosome:NZ_CP104764.1/CP104764.1; plasmid p1_Er676:NZ_CP104765.1/CP104765.1	-	2	4318	4160	2022/09/26	2022/09/28	Complete Genome	University of Texas at Dallas	SAMN30844987	GCA_025402795.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/402/795/GCF_025402795.1_ASM2540279v1	-	Er676
Enterococcus cecorum	44008	PRJEB50514	922819	Terrabacteria group	Bacillota	2.54251	36.5	chromosome 1:OX346404.1	-	1	2554	2464	2023/01/11	2023/01/12	Complete Genome	INRAE	SAMEA12751135	GCA_947054945.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/947/054/945/GCF_947054945.1_CIRMBP-1281_assembly	-	CIRMBP-1281
Enterococcus mundtii	53346	PRJNA453425	453425	Terrabacteria group	Bacillota	3.20408	38.4063	chromosome:NZ_CP029066.1/CP029066.1; plasmid pPe10301:NZ_CP029067.1/CP029067.1; plasmid pPe10302:NZ_CP029068.1/CP029068.1	-	3	3074	2945	2019/05/06	2022/07/17	Complete Genome	Korea Food Research Institute	SAMN08978749	GCA_005158285.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/158/285/GCF_005158285.1_ASM515828v1	-	Pe103
Enterococcus durans	53345	PRJNA774104	774104	Terrabacteria group	Bacillota	3.04685	37.8778	chromosome:NZ_CP088203.1/CP088203.1; plasmid pS8-3-a:NZ_CP088204.1/CP088204.1; plasmid pS8-3-b:NZ_CP088205.1/CP088205.1	-	3	2822	2691	2022/05/16	2022/05/18	Complete Genome	University of Zurich	SAMN23424483	GCA_023375285.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/375/285/GCA_023375285.1_ASM2337528v1	-	S8-3
Enterococcus hirae	1354	PRJNA639126	639126	Terrabacteria group	Bacillota	2.95151	36.9	chromosome:NZ_CP055232.1/CP055232.1	-	1	2705	2568	2020/06/24	2022/08/04	Complete Genome	U1230	SAMN15223906	GCA_013391205.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/391/205/GCA_013391205.1_ASM1339120v1	-	708
Enterococcus casseliflavus	37734	PRJNA940817	940817	Terrabacteria group	Bacillota	3.66233	42.8	chromosome:CP119393.1	-	1	3439	3348	2023/03/15	2023/03/15	Complete Genome	USDA-ARS	SAMN33579112	GCA_029215545.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/215/545/GCF_029215545.1_ASM2921554v1	-	ASE4
Enterococcus gallinarum	1353	PRJNA622390	622390	Terrabacteria group	Bacillota	3.48829	40.4104	chromosome:NZ_CP050816.1/CP050816.1; plasmid pEG81-1:NZ_CP050817.1/CP050817.1; plasmid pEG81-2:NZ_CP050818.1/CP050818.1	-	3	3375	3248	2022/01/18	2022/01/19	Complete Genome	Sichuan University	SAMN14513841	GCA_021496385.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/496/385/GCA_021496385.1_ASM2149638v1	-	EG81
Enterococcus faecium	1352	PRJNA589567	589567	Terrabacteria group	Bacillota	3.34713	37.6677	chromosome:NZ_CP046077.1/CP046077.1; plasmid p1_03A17012:NZ_CP046079.1/CP046079.1; plasmid p2_03A17012:NZ_CP046074.1/CP046074.1; plasmid p3_03A17012:NZ_CP046075.1/CP046075.1; plasmid p4_03A17012:NZ_CP046078.1/CP046078.1; plasmid p5_03A17012:NZ_CP046076.1/CP046076.1	-	6	3359	3157	2019/11/23	2021/11/24	Complete Genome	Public Health Agency of Canada	SAMN13283502	GCA_009697285.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/697/285/GCF_009697285.1_ASM969728v1	-	VRE
Enterococcus faecalis	1351	PRJNA779589	779589	Terrabacteria group	Bacillota	3.50561	37.0478	chromosome:NZ_CP091198.1/CP091198.1; plasmid pUK045_1:NZ_CP091197.1/CP091197.1; plasmid pUK045_2:NZ_CP091199.1/CP091199.1; plasmid pUK045_3:NZ_CP091200.1/CP091200.1	-	4	3569	3342	2022/01/26	2022/01/28	Complete Genome	Leibniz Institute of Photonic Technology	SAMN25117697	GCA_021610105.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/610/105/GCA_021610105.1_ASM2161010v1	-	UK045
Enterococcus faecalis	1351	PRJNA731638	731638	Terrabacteria group	Bacillota	3.48503	37.0376	chromosome:NZ_CP075604.2/CP075604.2; plasmid p1207_1:NZ_CP075605.1/CP075605.1; plasmid p1207_2:NZ_CP075606.1/CP075606.1; plasmid p1207_3:NZ_CP075607.1/CP075607.1; plasmid p1207_4:NZ_CP075608.1/CP075608.1; plasmid p1207_5:NZ_CP075609.1/CP075609.1; plasmid p1207_6:NZ_CP075610.1/CP075610.1	-	7	3534	3381	2021/06/22	2022/08/28	Complete Genome	National Medicines Institute	SAMN19292310	GCA_018986755.2	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/986/755/GCA_018986755.2_ASM1898675v2	-	1207/14
Enterococcus faecium	1352	PRJDB11708	746805	Terrabacteria group	Bacillota	3.2725	38.2562	chromosome:NZ_AP024837.1/AP024837.1; plasmid pAA622-1:NZ_AP024838.1/AP024838.1; plasmid pAA622-2:NZ_AP024839.1/AP024839.1; plasmid pAA622-3:NZ_AP024840.1/AP024840.1; plasmid pAA622-4:NZ_AP024841.1/AP024841.1; plasmid pAA622-5:NZ_AP024842.1/AP024842.1; plasmid pAA622-6:NZ_AP024843.1/AP024843.1	-	7	3272	2947	2021/07/14	2022/10/16	Complete Genome	Bacteriology, Graduate School of Medicine, Gunma University	SAMD00324536	GCA_019977575.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/977/575/GCA_019977575.1_ASM1997757v1	-	AA622
Enterococcus gallinarum	1353	PRJNA231221	231221	Terrabacteria group	Bacillota	3.27493	40.6	chromosome:NZ_CP046307.1/CP046307.1	-	1	3163	3021	2019/12/05	2021/12/07	Complete Genome	US Food and Drug Administration 	SAMN11056443	GCA_009730155.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/730/155/GCF_009730155.1_ASM973015v1	-	FDAARGOS_728
Enterococcus casseliflavus	37734	PRJNA580195	580195	Terrabacteria group	Bacillota	3.78687	41.9378	chromosome:NZ_CP046123.1/CP046123.1; plasmid unnamed1:NZ_CP046124.1/CP046124.1; plasmid unnamed2:NZ_CP046125.1/CP046125.1; plasmid unnamed3:NZ_CP046126.1/CP046126.1	-	4	3734	3570	2019/11/24	2021/11/26	Complete Genome	Center for Diagnosis and Treatment of Infectious Diseases	SAMN13152475	GCA_009707345.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/707/345/GCF_009707345.1_ASM970734v1	-	EC291
Enterococcus hirae	1354	PRJDB15240	937916	Terrabacteria group	Bacillota	3.07011	37.0755	chromosome:AP027299.1; plasmid L6E_p1:AP027300.1; plasmid L6E_p2:AP027301.1	-	3	2998	2911	2023/02/21	2023/02/22	Complete Genome	Rakuno Gakuen University	SAMD00577374	GCA_030295825.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/295/825/GCF_030295825.1_ASM3029582v1	-	L6E
Enterococcus durans	53345	PRJNA783265	783265	Terrabacteria group	Bacillota	3.04253	37.8771	chromosome:NZ_CP116579.1/CP116579.1; plasmid pR109-1-A:NZ_CP116580.1/CP116580.1	-	2	2822	2698	2023/01/31	2023/02/02	Complete Genome	University of Zurich	SAMN23424509	GCA_028335645.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/335/645/GCF_028335645.1_ASM2833564v1	-	R109-1
Enterococcus mundtii	53346	PRJNA337899	337899	Terrabacteria group	Bacillota	3.01443	38.5	chromosome:NZ_CP022340.1/CP022340.1	-	1	2841	2684	2017/07/12	2021/12/21	Complete Genome	Zhejiang University	SAMN07459877	GCA_002216705.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/216/705/GCF_002216705.1_ASM221670v1	-	EMB156
